154,56,57,100,57,22,35,27,10,0,0,0,1
169,100,23,44,46,22,22,8,5,0,0,0,1
166,98,90,100,38,32,35,22,10,0,0,0,1
168,100,39,52,17,31,28,7,2,0,0,0,1
155,32,29,100,32,32,24,17,7,0,0,0,1
254,100,42,37,38,80,19,16,16,1,0,0,1
240,100,60,33,83,40,33,25,15,1,0,0,1
160,100,12,5,1,0,0,0,2,0,0,1,0
162,100,18,6,1,0,0,0,3,0,0,1,0
154,100,100,72,11,11,11,11,16,0,0,1,0
159,65,100,25,13,3,5,6,11,0,0,1,0
223,5,100,23,8,3,4,1,8,1,0,1,0
231,17,100,13,14,14,8,2,11,1,0,1,0
250,57,100,2,11,2,0,0,7,1,0,1,0
247,98,100,14,0,3,1,1,7,1,0,1,0
183,100,12,1,0,0,0,0,2,0,0,1,1
183,100,9,0,0,0,0,0,1,0,0,1,1
182,100,5,1,0,0,0,0,1,0,0,1,1
170,100,2,1,0,0,0,0,0,0,0,1,1
169,100,18,7,2,2,1,1,2,0,0,1,1
183,100,15,7,3,1,1,1,2,0,0,1,1
176,100,13,2,1,1,1,1,3,0,0,1,1
183,100,12,3,1,1,1,1,4,0,0,1,1
190,100,14,3,2,1,1,1,3,0,0,1,1
255,100,12,1,1,1,0,0,5,1,0,1,1
247,100,18,1,0,1,0,0,7,1,0,1,1
255,100,21,1,1,4,1,0,11,1,0,1,1
250,100,9,1,1,0,0,0,3,1,0,1,1
166,100,93,16,6,9,2,0,1,0,1,0,0
172,100,33,6,2,3,1,0,0,0,1,0,0
191,100,49,21,32,13,4,3,3,0,1,0,0
191,100,18,10,26,5,1,1,1,0,1,0,0
245,42,100,77,84,21,27,9,3,1,1,0,0
247,41,100,39,35,12,23,5,1,1,1,0,0
234,15,100,86,21,53,5,0,2,1,1,0,0
227,10,100,66,45,37,5,1,1,1,1,0,0
192,100,30,10,10,3,2,1,3,0,1,0,1
182,100,3,2,1,1,0,0,0,0,1,0,1
183,100,10,4,4,1,0,0,0,0,1,0,1
197,100,24,10,4,1,0,0,1,0,1,0,1
249,12,100,32,2,0,1,0,1,1,1,0,1
255,100,50,11,12,14,1,1,1,1,1,0,1
254,100,42,2,21,6,1,0,0,1,1,0,1
244,100,51,10,59,5,1,0,1,1,1,0,1
